AÑO,TRIMESTRE,CÓDIGO DANE,DEPARTAMENTO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,PENETRACIÓN (%)
2024,1,50,META,169359,1145766,14.781290420557077
2024,1,52,NARIÑO,134702,1709890,7.877816701659171
2024,1,54,NORTE DE SANTANDER,196137,1709570,11.472884994472293
2024,1,86,PUTUMAYO,20283,388716,5.21794832216837
2024,1,63,QUINDÍO,127483,566048,22.521588275199278
2024,1,66,RISARALDA,221733,973879,22.76802354296581
2024,1,68,SANTANDER,437119,2376736,18.391567258626957
2024,1,70,SUCRE,61600,1006044,6.1229926325289945
2024,1,73,TOLIMA,239561,1380948,17.347575723343674
2024,1,76,VALLE DEL CAUCA,912537,4647367,19.63556999049139
2024,1,97,VAUPÉS,633,47961,1.319822355663977
2024,1,99,VICHADA,2420,125477,1.9286403085824493
2024,2,91,AMAZONAS,3952,86318,4.578419333163419
2024,2,5,ANTIOQUIA,1606134,6903721,23.264758236898622
2024,2,81,ARAUCA,29105,317398,9.169875046471622
2024,2,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12272,62249,19.71437292165336
2024,2,8,ATLÁNTICO,440554,2827124,15.583115561963323
2024,2,11,BOGOTÁ D.C.,2279183,7929539,28.742944577232045
2024,2,13,BOLÍVAR,247484,2264523,10.928747466905834
2024,2,15,BOYACÁ,177760,1311983,13.548956045924376
2024,2,17,CALDAS,180685,1046110,17.272084197646517
2024,2,18,CAQUETA,30134,428162,7.037990293393622
2024,2,85,CASANARE,57800,475144,12.16473321771926
2024,2,19,CAUCA,100195,1574506,6.363583244522409
2024,2,20,CESAR,125776,1395486,9.013060682801548
2024,2,27,CHOCÓ,21556,605478,3.560162384099835
2024,2,25,CUNDINAMARCA,682159,3553293,19.197938363090238
2024,2,23,CÓRDOBA,107969,1914778,5.638721564588689
2024,2,94,GUAINÍA,1810,57934,3.124244830324162
2024,2,95,GUAVIARE,3279,100497,3.262783963700409
2024,2,41,HUILA,156032,1192273,13.086935626320482
2024,2,44,LA GUAJIRA,56566,1057252,5.350285457014978
2024,2,47,MAGDALENA,146337,1513782,9.666979789692308
2024,2,50,META,170063,1145766,14.84273403120707
2024,2,52,NARIÑO,132968,1709890,7.776406669434876
2024,2,54,NORTE DE SANTANDER,194677,1709570,11.387483402259047
2024,2,86,PUTUMAYO,21510,388716,5.5336029389065535
2024,2,63,QUINDÍO,127764,566048,22.571230708349823
